City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nanning,22.8167,108.3167,27.25,94,96,2.31,CN,1722527348
1,margaret river,-33.95,115.0667,10.81,63,91,3.41,AU,1722527349
2,olonkinbyen,70.9221,-8.7187,4.95,99,99,5.97,SJ,1722527350
3,morteros,-30.7116,-61.9986,26.12,37,100,9.16,AR,1722527351
4,waitangi,-43.9535,-176.5597,7.12,64,67,9.38,NZ,1722527353
5,lubango,-14.9172,13.4925,23.92,31,4,3.09,AO,1722527354
6,tiksi,71.6872,128.8694,1.58,80,73,0.62,RU,1722527355
7,luderitz,-26.6481,15.1594,17.98,50,0,7.97,NA,1722527356
8,queenstown,-31.8976,26.8753,13.31,41,39,1.25,ZA,1722527357
9,tosontsengel,48.7567,98.2839,10.91,88,96,1.47,MN,1722527359
10,vorgashor,67.5833,63.95,19.14,73,70,4.13,RU,1722527360
11,ashland,40.8167,-82.2665,29.45,66,5,2.76,US,1722527361
12,adamstown,-25.066,-130.1015,19.77,89,100,5.45,PN,1722527362
13,menongue,-14.6585,17.691,30.01,12,16,2.38,AO,1722527363
14,zaragoza,41.6561,-0.8773,39.14,22,0,3.6,ES,1722527364
15,hamilton,39.1834,-84.5333,30.14,78,75,3.6,US,1722527366
16,bismarck,46.8083,-100.7837,27.48,61,0,4.12,US,1722527367
17,stanley,54.868,-1.6985,22.01,69,20,3.09,GB,1722527368
18,nkove,-7.95,30.85,24.94,38,58,2.85,TZ,1722527369
19,edinburgh of the seven seas,-37.0676,-12.3116,13.06,77,14,14.69,SH,1722527371
20,grand-bassam,5.2118,-3.7388,23.98,90,100,4.27,CI,1722527372
21,bredasdorp,-34.5322,20.0403,10.7,89,0,1.89,ZA,1722527373
22,grytviken,-54.2811,-36.5092,-4.99,54,5,1.42,GS,1722527374
23,ribeira grande,38.5167,-28.7,27.22,78,40,5.81,PT,1722527375
24,kingston,17.997,-76.7936,35.09,59,20,1.54,JM,1722527377
25,pimentel,-6.8367,-79.9342,19.16,77,100,3.6,PE,1722527379
26,kindu,-2.95,25.95,31.77,30,73,1.06,CD,1722527380
27,blackmans bay,-43.0167,147.3167,5.29,93,93,3.02,AU,1722527381
28,papatowai,-46.5619,169.4708,6.2,86,100,0.85,NZ,1722527382
29,acarau,-2.8856,-40.12,31.95,44,7,6.58,BR,1722527384
30,udachny,66.4167,112.4,8.75,58,29,1.61,RU,1722527299
31,fort drum,44.0584,-75.7619,27.6,76,20,2.06,US,1722527387
32,anadyr,64.75,177.4833,6.28,81,75,2.0,RU,1722527388
33,waddan,29.1614,16.139,36.18,18,0,4.99,LY,1722527390
34,vila franca do campo,37.7167,-25.4333,24.23,73,56,1.13,PT,1722527391
35,fortuna,40.5982,-124.1573,14.99,96,100,0.0,US,1722527392
36,pollock pines,38.7613,-120.5866,24.83,39,0,0.0,US,1722527393
37,port-aux-francais,-49.35,70.2167,3.52,92,78,9.86,TF,1722527394
38,albany,42.6001,-73.9662,29.8,71,0,1.79,US,1722527396
39,sulzbach-rosenberg,49.4983,11.7517,23.26,88,100,2.67,DE,1722527397
40,colonia,50.9333,6.95,22.2,87,75,4.12,DE,1722527398
41,port douglas,-16.4833,145.4667,20.49,80,52,5.13,AU,1722527399
42,puerto natales,-51.7236,-72.4875,2.25,100,100,1.03,CL,1722527400
43,magadan,59.5667,150.8,9.34,91,100,4.99,RU,1722527402
44,tolanaro,-25.0319,46.9987,21.04,68,20,5.14,MG,1722527403
45,souillac,-20.5167,57.5167,21.21,73,20,1.54,MU,1722527405
46,huaihua,27.5494,109.9592,24.31,96,89,1.55,CN,1722527406
47,christchurch,-43.5333,172.6333,2.17,87,75,3.58,NZ,1722527326
48,enewetak,11.3474,162.3373,28.51,75,44,3.77,MH,1722527408
49,bethel,41.3712,-73.414,31.67,67,0,2.06,US,1722527409
50,labytnangi,66.6572,66.4183,18.75,84,100,4.13,RU,1722527410
51,ciudad lazaro cardenas,17.9583,-102.2,28.04,66,99,1.86,MX,1722527412
52,jinchang,38.4953,102.1739,19.68,69,100,3.57,CN,1722527413
53,torres,-29.3353,-49.7269,31.03,72,3,4.63,BR,1722527414
54,punta arenas,-53.15,-70.9167,5.06,100,100,3.6,CL,1722527250
55,saint-florent-sur-cher,46.9955,2.2508,30.09,50,16,4.13,FR,1722527416
56,javanrud,34.7961,46.5172,29.53,12,0,4.64,IR,1722527417
57,ta`u,-14.2336,-169.5144,25.54,69,99,7.98,AS,1722527419
58,longyearbyen,78.2186,15.6401,13.91,62,0,1.54,SJ,1722527420
59,kalininsk,51.5,44.4758,21.72,41,63,2.65,RU,1722527422
60,talnakh,69.4865,88.3972,20.65,48,97,2.48,RU,1722527423
61,iqaluit,63.7506,-68.5145,7.85,61,40,4.63,CA,1722527425
62,itoman,26.1247,127.6694,30.22,82,20,3.09,JP,1722527426
63,tura,25.5198,90.2201,24.28,93,100,3.11,IN,1722527427
64,minas de marcona,-15.2119,-75.1103,17.64,57,15,3.35,PE,1722527428
65,sisimiut,66.9395,-53.6735,11.29,55,2,3.4,GL,1722527429
66,nurota,40.5614,65.6886,32.82,14,1,3.05,UZ,1722527430
67,bilibino,68.0546,166.4372,1.85,69,99,0.46,RU,1722527434
68,houghton,47.1219,-88.569,25.71,75,0,4.12,US,1722527435
69,vilyuchinsk,52.9306,158.4028,13.15,95,85,0.62,RU,1722527436
70,songea,-10.6833,35.65,18.31,34,0,2.27,TZ,1722527438
71,kristiansund,63.1115,7.732,18.03,81,75,3.6,NO,1722527439
72,yellowknife,62.456,-114.3525,13.01,71,40,5.14,CA,1722527399
73,haiku-pauwela,20.9219,-156.3051,22.36,83,20,3.6,US,1722527441
74,praia da vitoria,38.7333,-27.0667,27.14,69,40,2.72,PT,1722527442
75,malabar,-33.9667,151.25,10.98,87,100,3.6,AU,1722527444
76,sarmiento,-45.5882,-69.07,9.32,63,82,2.05,AR,1722527445
77,baiquan,47.5833,126.0833,20.14,63,86,4.61,CN,1722527446
78,mirny,62.5353,113.9611,8.24,69,35,1.35,RU,1722527447
79,neiafu,-18.65,-173.9833,22.38,94,20,3.6,TO,1722527448
80,laojunmiao,39.8333,97.7333,17.79,63,89,2.36,CN,1722527450
81,gereida,11.2811,25.1414,26.79,71,86,0.4,SD,1722527451
82,taroudant,30.4703,-8.877,39.36,20,26,9.03,MA,1722527452
83,saint john,45.2727,-66.0677,19.57,100,100,5.14,CA,1722527453
84,lajosmizse,47.0213,19.5617,33.86,22,0,2.06,HU,1722527454
85,lorengau,-2.0226,147.2712,27.65,82,34,4.0,PG,1722527455
86,invercargill,-46.4,168.35,2.23,93,99,1.33,NZ,1722527242
87,withernsea,53.7311,0.0335,23.14,85,43,5.71,GB,1722527458
88,yuzhno-kurilsk,44.0306,145.8556,15.98,98,100,3.24,RU,1722527459
89,whitehorse,60.7161,-135.0538,9.45,86,75,1.03,CA,1722527460
90,aykhal,66.0,111.5,8.24,59,14,2.14,RU,1722527461
91,alice,27.7523,-98.0697,30.69,76,40,6.69,US,1722527463
92,ulladulla,-35.35,150.4667,9.25,84,74,3.83,AU,1722527464
93,wailua homesteads,22.0669,-159.378,20.44,82,40,1.54,US,1722527465
94,sassandra,4.95,-6.0833,23.12,94,100,4.44,CI,1722527466
95,nabire,-3.3667,135.4833,24.58,94,99,0.92,ID,1722527467
96,jamestown,42.097,-79.2353,29.14,78,0,3.09,US,1722527410
97,holualoa,19.6228,-155.9522,20.14,96,86,1.81,US,1722527470
98,forecariah,9.4306,-13.0881,27.16,85,98,3.4,GN,1722527471
99,atafu village,-8.5421,-172.5159,27.68,71,100,7.58,TK,1722527472
100,utrik,11.2278,169.8474,27.97,80,67,3.19,MH,1722527473
101,ilulissat,69.2167,-51.1,3.01,100,100,3.09,GL,1722527474
102,tazovsky,67.4667,78.7,16.84,86,44,3.68,RU,1722527476
103,west island,-12.1568,96.8225,26.99,69,75,4.63,CC,1722527477
104,puerto ayora,-0.7393,-90.3518,21.98,80,13,3.69,EC,1722527478
105,portomaggiore,44.6985,11.8068,37.04,51,6,7.71,IT,1722527479
